Application.SendKeys "%H%"

Key 	Code
CTRL 	^ (caret)
ALT 	% (percent sign)
SHIFT 	+ (plus sign)
BACKSPACE 	{BACKSPACE} or {BS}
BREAK 	{BREAK}
CAPS LOCK 	{CAPSLOCK}
CLEAR 	{CLEAR}
DELETE or DEL 	{DELETE} or {DEL}
DOWN ARROW 	{DOWN}
END 	{END}
ENTER (numeric keypad) 	{ENTER}
ENTER 	~ (tilde)
ESC 	{ESCAPE} or {ESC}
HELP 	{HELP}
HOME 	{HOME}
INS 	{INSERT}
LEFT ARROW 	{LEFT}
NUM LOCK 	{NUMLOCK}
PAGE DOWN 	{PGDN}
PAGE UP 	{PGUP}
RETURN 	{RETURN}
RIGHT ARROW 	{RIGHT}
SCROLL LOCK 	{SCROLLLOCK}
TAB 	{TAB}
UP ARROW 	{UP}
F1 through F15 	{F1} through {F15}
