LETTERS,DIGITS,NUMERALS,MONTH,QUARTER,YEAR
A,1,I,1,1,2019
B,2,II,2,1,2019
C,3,III,3,1,2019
D,4,IV,4,2,2019
E,5,V,5,2,2019
F,6,VI,6,2,2019
G,7,VII,7,3,2019
H,8,VIII,8,3,2019
I,9,IX,9,3,2019
J,10,X,10,4,2019
K,11,XI,11,4,2019
L,12,XII,12,4,2019
A,1,I,1,1,2020
B,2,II,2,1,2020
C,3,III,3,1,2020
D,4,IV,4,2,2020
E,5,V,5,2,2020
F,6,VI,6,2,2020
G,7,VII,7,3,2020
H,8,VIII,8,3,2020
I,9,IX,9,3,2020
J,10,X,10,4,2020
K,11,XI,11,4,2020
L,12,XII,12,4,2020
A,1,I,1,1,2021
B,2,II,2,1,2021
C,3,III,3,1,2021
D,4,IV,4,2,2021
E,5,V,5,2,2021
F,6,VI,6,2,2021
G,7,VII,7,3,2021
H,8,VIII,8,3,2021
I,9,IX,9,3,2021
J,10,X,10,4,2021
K,11,XI,11,4,2021
L,12,XII,12,4,2021
A,1,I,1,1,2022
B,2,II,2,1,2022
C,3,III,3,1,2022
D,4,IV,4,2,2022
E,5,V,5,2,2022
F,6,VI,6,2,2022
G,7,VII,7,3,2022
H,8,VIII,8,3,2022
I,9,IX,9,3,2022
J,10,X,10,4,2022
K,11,XI,11,4,2022
L,12,XII,12,4,2022
